Date,App_Name,Category,Minutes_Used
2026-07-21,TikTok,Social Media,58
2026-07-21,Kindle,Education,24
2026-07-21,Netflix,Entertainment,19
2026-07-21,YouTube,Entertainment,32
2026-07-21,X (Twitter),Social Media,26
2026-07-22,Terminal,Coding,35
2026-07-22,YouTube,Entertainment,46
2026-07-22,Kindle,Education,20
2026-07-22,Khan Academy,Education,21
2026-07-22,Slack,Productivity,32
2026-07-22,VS Code,Coding,37
2026-07-23,Gmail,Productivity,31
2026-07-23,Spotify,Entertainment,21
2026-07-23,Instagram,Social Media,63
2026-07-23,Kindle,Education,13
2026-07-23,VS Code,Coding,49
2026-07-23,Khan Academy,Education,16
2026-07-23,Slack,Productivity,49
2026-07-24,Duolingo,Education,25
2026-07-24,YouTube,Entertainment,17
2026-07-24,Kindle,Education,10
2026-07-24,Instagram,Social Media,55
2026-07-24,TikTok,Social Media,25
2026-07-24,Gmail,Productivity,25
2026-07-24,Netflix,Entertainment,51
2026-07-24,Slack,Productivity,13
2026-07-25,Terminal,Coding,43
2026-07-25,Kindle,Education,12
2026-07-25,YouTube,Entertainment,34
2026-07-25,X (Twitter),Social Media,35
2026-07-25,GitHub,Coding,21
2026-07-25,VS Code,Coding,13
2026-07-25,Netflix,Entertainment,33
2026-07-26,YouTube,Entertainment,35
2026-07-26,Khan Academy,Education,16
2026-07-26,GitHub,Coding,38
2026-07-26,VS Code,Coding,38
2026-07-26,Kindle,Education,9
2026-07-26,X (Twitter),Social Media,35
2026-07-26,Netflix,Entertainment,49
2026-07-26,Instagram,Social Media,83
2026-07-27,X (Twitter),Social Media,40
2026-07-27,Khan Academy,Education,21
2026-07-27,Slack,Productivity,37
2026-07-27,Gmail,Productivity,35
2026-07-27,VS Code,Coding,24
2026-07-27,Instagram,Social Media,48
2026-07-28,Instagram,Social Media,60
2026-07-28,Netflix,Entertainment,38
2026-07-28,VS Code,Coding,84
2026-07-28,X (Twitter),Social Media,73
2026-07-28,GitHub,Coding,73
2026-07-28,TikTok,Social Media,24
2026-07-28,Gmail,Productivity,25
2026-07-28,Duolingo,Education,20
2026-07-29,Duolingo,Education,27
2026-07-29,Spotify,Entertainment,20
2026-07-29,GitHub,Coding,39
2026-07-29,TikTok,Social Media,16
2026-07-29,Instagram,Social Media,63
2026-07-29,Gmail,Productivity,12
2026-07-30,X (Twitter),Social Media,31
2026-07-30,Khan Academy,Education,22
2026-07-30,GitHub,Coding,45
2026-07-30,Terminal,Coding,95
2026-07-30,Slack,Productivity,30
2026-07-30,Netflix,Entertainment,45
2026-07-30,VS Code,Coding,18
2026-07-31,Instagram,Social Media,11
2026-07-31,Spotify,Entertainment,60
2026-07-31,TikTok,Social Media,16
2026-07-31,Terminal,Coding,43
2026-07-31,YouTube,Entertainment,40
2026-07-31,Khan Academy,Education,13
2026-08-01,YouTube,Entertainment,44
2026-08-01,Terminal,Coding,2
2026-08-01,X (Twitter),Social Media,80
2026-08-01,Duolingo,Education,12
2026-08-01,Khan Academy,Education,15
2026-08-01,GitHub,Coding,8
2026-08-01,VS Code,Coding,25
2026-08-01,Gmail,Productivity,1
2026-08-02,YouTube,Entertainment,48
2026-08-02,Terminal,Coding,6
2026-08-02,GitHub,Coding,31
2026-08-02,X (Twitter),Social Media,30
2026-08-02,VS Code,Coding,29
2026-08-02,Netflix,Entertainment,27
2026-08-03,GitHub,Coding,62
2026-08-03,YouTube,Entertainment,40
2026-08-03,VS Code,Coding,91
2026-08-03,TikTok,Social Media,22
2026-08-03,X (Twitter),Social Media,31
2026-08-03,Kindle,Education,25
2026-08-03,Khan Academy,Education,21
2026-08-03,Gmail,Productivity,8
