label,text
ham,"Hi John, can we reschedule our meeting to 3 PM tomorrow?"
ham,"Please find attached the project report for your review."
spam,"Congratulations! You have won a $1000 Walmart gift card. Click now!"
ham,"Can you send me the updated slides before lunch?"
spam,"Limited time offer! Buy one get three free on all supplements."
ham,"Your parcel will arrive today between 2 PM and 4 PM."
spam,"Urgent: Your bank account is locked. Verify details immediately."
ham,"Let's catch up over coffee this weekend."
spam,"You are selected for a free vacation package. Reply YES to claim."
ham,"Reminder: team standup starts at 10 AM sharp."
spam,"Make money fast from home with zero investment."
ham,"Thanks for your payment. Your receipt is attached."
spam,"Earn $5000 weekly with this secret method."
ham,"Could you review my pull request when you get a chance?"
spam,"Hot singles in your area are waiting to meet you."
ham,"The doctor appointment is confirmed for Monday morning."
spam,"Claim your exclusive crypto bonus before it expires."
ham,"I have shared the notes from today's lecture."
spam,"Your mobile number won a lucky draw prize."
ham,"Dinner is at 8 PM tonight, see you then!"
spam,"Act now! Lowest loan rates guaranteed, no documents needed."
ham,"Please approve the leave request in the HR portal."
spam,"Final warning: unpaid invoice. Click to avoid legal action."
ham,"The library will remain closed on Sunday."
spam,"Instant weight loss pills with guaranteed results, order now."
ham,"Can we move the code review to Friday afternoon?"
spam,"Get premium streaming access free for 1 year, verify account."
ham,"Your interview is scheduled for next Wednesday at 11 AM."
spam,"You have been pre-approved for a credit card. Apply now."
ham,"Meeting minutes have been uploaded to the shared drive."
